API ID,API ID,
API Key,API Nyckel,
API Password,API Lösenord,
API Secret,API Hemlighet,
Carrier,Transportör,
Creating Shipment,Skapar Leverans,
Delivery Type,Leverans Typ,
Enabled,Aktiverat,
Fetch Shipping Rates,Hämta Leverans Priser,
Fetching Shipping Rates,Hämtar Leverans Priser...,
Incomplete Shipment,Ofullständig Leverans,
No Preferred Services Available,Inga Föredragna Tjänster Tillgängliga,
No Services Available,Inga Tjänster Tillgängliga,
No Shipment Services available,Inga Leverans Tjänster Tillgängliga,
Other Services,Andra Tjänster,
Parcel Service Type,Paket Tjänst Typ,
Parcel Service,Paket Tjänst,
Parcel Service,Paket Typ,
Platform,Platform,
Please complete Shipment (ID: {0}) on {1} and Update Tracking.,Slutför leverans (ID: {0}) på {1} och Uppdatera Spårning.,
Please log in as a regular user to use the shipping integration.,Logga in som vanlig användare för att använda leverans integration.,
Preferred Services,Föredragna Tjänster,
Price,Pris,
Print Shipping Label,Skriv ut Leverans Etikett,
Printing Shipping Label,Skriver ut Leverans Etikett...,
Select Service to Create Shipment,Välj Tjänst för att skapa Leverans,
Select,Välj,
Shipment {1} has been created with {0}.,Leverans {1} skapad genom {0}.,
Shipment already created,Leverans redan skapad,
Track Status,Spåra Status,
Tracking Number,Leveransnummer,
Tracking Status Information,Spårning Status Information,
Tracking Status,Spårning Status,
Tracking URL,Spårning URL,
Update Tracking,Uppdatera Spårning,
Updating Tracking,Uppdaterar Spårning...,
Use Test Environment,Använd Test Miljö,
